黑天鹅,8.6,724716,黑暗之美。,达伦·阿罗诺夫斯基,娜塔莉·波特曼,剧情,美国,2010
你看起来好像很好吃,8.9,299101,感情不分食草或者食肉。,藤森雅也,山口胜平,剧情,日本,2010
恐怖游轮,8.5,739990,不要企图在重复中寻找已经失去的爱。,克里斯托弗·史密斯,梅利莎·乔治,剧情,英国,2009
雨中曲,9.1,190233,骨灰级歌舞片。,斯坦利·多南,吉恩·...<br/>,喜剧,美国,1952
雨人,8.7,365817,生活在自己的世界里，也可以让周围的人显得可笑和渺小。,巴瑞·莱文森,达斯汀·霍夫曼,剧情,美国,1988
恋恋笔记本,8.6,594419,爱情没有那么多借口，如果不能圆满，只能说明爱的不够。 ,尼克·卡索维茨,瑞恩·高斯林,剧情,美国,2004
2001太空漫游,8.9,273857,现代科幻电影的开山之作，最伟大导演的最伟大影片。,斯坦利·库布里克,凯尔·杜拉,科幻,英国,1968
魔女宅急便,8.7,407947,宫崎骏的电影总让人感觉世界是美好的，阳光明媚的。,宫崎骏,高山南,动画,日本,1989
萤火虫之墓,8.7,374154,幸福是生生不息，却难以触及的远。 ,高畑勋,辰己努,动画,日本,1988
城市之光,9.3,125136,永远的小人物，伟大的卓别林。,Charles,查理·卓别林,喜剧,美国,1931
可可西里,8.8,267408,坚硬的信仰。,陆川,多布杰,剧情,中国大陆,2004
遗愿清单,8.7,382031,用剩余不多的时间，去燃烧整个生命。,罗伯·莱纳,杰克·尼科尔森,冒险,美国,2007
虎口脱险,8.9,222616,永远看不腻的喜剧。,杰拉尔·乌里,路易·德·菲耐斯,喜剧,法国,1966
大佛普拉斯,8.7,385226,人们可以登上月球，却永远无法探索人们内心的宇宙。,黄信尧,庄益增,剧情,中国台湾,2017
人工智能,8.7,395331,对爱的执着，可以超越一切。,史蒂文·斯皮尔伯格,海利·乔·奥斯蒙,剧情,美国,2001
初恋这件小事,8.4,903763,黑小鸭速效美白记。,信息不全,信息不全,信息不全,信息不全,信息不全
牯岭街少年杀人事件,8.9,245599,弱者送给弱者的一刀。,杨德昌,张震,剧情,中国台湾,1991
源代码,8.5,752404,邓肯·琼斯继《月球》之后再度奉献出一部精彩绝伦的科幻佳作。,邓肯·琼斯,杰克·吉伦哈尔,科幻,美国,2011
无间道2,8.7,398926,暂无介绍,刘伟强,陈冠希,剧情,中国香港,2003
海边的曼彻斯特,8.6,443008,我们都有权利不与自己的过去和解。,肯尼斯·罗纳根,卡西·阿弗莱克,剧情,美国,2016
茶馆,9.5,94505,暂无介绍,谢添,于是之,剧情,中国大陆,1982
罗生门,8.8,277398,人生的N种可能性。,黑泽明,三船敏郎,剧情,日本,1950
终结者2：审判日,8.8,307684,少见的超越首部的续集，动作片中的经典。,詹姆斯·卡梅隆,阿诺·施瓦辛格,动作,美国,1991
东京教父,9.0,179443,暂无介绍,今敏,江守彻,剧情,日本,2003
二十二,8.7,269151,有一些东西不应该被遗忘。,郭柯,<br/>,纪录片,中国大陆,2015
奇迹男孩,8.6,505985,世界不完美，爱会有奇迹。,斯蒂芬·卓博斯基,雅各布·特伦布莱,剧情,美国,2017
青蛇,8.6,465429,人生如此，浮生如斯。谁人言，花彼岸，此生情长意短。谁都是不懂爱的罢了。,徐克,张曼玉,剧情,中国香港,1993
背靠背，脸对脸,9.5,97375,暂无介绍,黄建新,牛振华,剧情,中国大陆,1994
房间,8.8,340811,被偷走的岁月，被伤害的生命，被禁锢的灵魂，终将被希望和善意救赎。,伦尼·阿伯拉罕森,布丽·拉尔森,剧情,爱尔兰,2015
新龙门客栈,8.6,394940,嬉笑怒骂，调风动月。,李惠民,张曼玉,动作,中国香港,1992
疯狂的麦克斯4：狂暴之路,8.6,469110,“多么美好的一天！”轰轰轰砰咚，啪哒哒哒轰隆隆，磅~,乔治·米勒,汤姆·哈迪,动作,澳大利亚,2015
波西米亚狂想曲,8.6,529335,暂无介绍,布莱恩·辛格,拉米·马雷克,剧情,英国,2018
小丑,8.7,895338,暂无介绍,托德·菲利普斯,杰昆·菲尼克斯,剧情,美国,2019
无耻混蛋,8.6,424009,昆汀同学越来越变态了，比北野武还杜琪峰。,Quentin,布拉德·皮特,剧情,德国,2009
魂断蓝桥,8.8,248012,中国式内在的美国电影。,茂文·勒鲁瓦,费雯·丽,剧情,美国,1940
血钻,8.7,334767,每个美丽事物背后都是滴血的现实。,爱德华·兹威克,莱昂纳多·迪卡普里奥,剧情,美国,2006
步履不停,8.8,244929,日本的家庭电影已经是世界巅峰了，步履不停是巅峰中的佳作。,是枝裕和,阿部宽,剧情,日本,2008
黑客帝国2：重装上阵,8.7,364554,一个精彩的世界观正在缓缓建立。,信息不全,信息不全,信息不全,信息不全,信息不全
